symbol,ask,bid,previousClose,open,dividendYield,dividendPerShare,dividendPayDate,exDividendDate,tradeDate,lastTradeDate,lastTradeTime,earningPerShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateNextQuarter,bookValue,EBITDA,priceSale,priceBook,pe,peg,peCurrentYear,peNextYear,shortRatio,revenue,holdingsValue,dayValueChange,holdingGainPercent,annualizedGain,holdingsGain,askSize,bidSize,lastTradeSize,averageDailyVolume,marketCapitalization,floatShares,name,sharesOwned,stockExchange,sharesOutstanding,commission,oneYearTargetPrice,
"ADAP",13.16,10.01,11.24,11.24,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-1.64,-0.39,-0.58,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,100,900,339,262706,N/A,N/A,N/A,N/A,"NMS",N/A,N/A,22.00
"ADUS",N/A,26.90,30.86,30.95,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",1.12,1.24,1.49,0.36,12.23,24.52M,1.02,2.52,29.53,1.58,26.79,22.30,2.32,332.02M,N/A,N/A,N/A,N/A,N/A,N/A,300,5080,72758,365.05M,6654000,"Addus HomeCare Corporation",N/A,"NMS",10989000,N/A,32.00
"AEY",2.510,N/A,2.350,2.380,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:45pm",0.190,nan,N/A,0.000,4.061,5.09M,0.512,0.579,12.484,0.000,N/A,N/A,0.220,46.24M,N/A,N/A,N/A,N/A,N/A,100,N/A,100,10445,23.89M,4588000,"ADDvantage Technologies Group, ",N/A,"NGM",10073000,N/A,7.600
"ADEP",7.71,7.66,8.10,8.12,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.38,-0.22,0.06,-0.07,1.66,-3.53M,2.18,4.89,N/A,-1.69,N/A,128.50,15.74,54.20M,N/A,N/A,N/A,N/A,N/A,200,700,117,57972,112.57M,10464000,"Adept Technology, Inc.",N/A,"NCM",14600000,N/A,10.70
"ADMA",24.77,8.00,8.95,9.00,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-1.56,-1.61,-0.75,-0.42,0.89,-13.08M,16.90,10.07,N/A,0.00,N/A,N/A,12.03,5.67M,N/A,N/A,N/A,N/A,N/A,500,3700,291,12242,96.24M,1967000,"ADMA Biologics Inc",N/A,"NCM",10705000,N/A,19.30
"ADBE",82.35,75.59,78.52,78.62,0.00,0.00,N/A,"3/24/2005",N/A,"9/10/2015","4:00pm",0.72,2.06,3.22,0.64,13.27,920.56M,8.98,5.92,109.31,1.21,38.20,24.44,1.84,4.35B,N/A,N/A,N/A,N/A,N/A,200,200,181597,3220080,39.16B,495634000,"Adobe Systems Incorporated",N/A,"NMS",497645000,N/A,90.55
"ADTN",17.40,12.81,15.46,15.45,2.32,0.36,"8/13/2015","7/28/2015",N/A,"9/10/2015","4:00pm",0.49,0.38,0.70,0.13,9.80,33.72M,1.27,1.58,31.32,1.64,40.63,22.06,2.23,609.85M,N/A,N/A,N/A,N/A,N/A,200,800,11637,603358,770.89M,49655000,"ADTRAN, Inc.",N/A,"NMS",49928000,N/A,17.16
"ADRO",20.25,20.15,19.33,19.40,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-1.24,-1.18,-0.72,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,200,100,712,266703,N/A,N/A,N/A,N/A,"NMS",N/A,N/A,51.25
"AEIS",29.02,24.50,24.87,24.86,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-4.68,2.02,2.41,0.51,6.35,85.92M,1.78,3.92,N/A,7.19,12.29,10.30,2.88,573.77M,N/A,N/A,N/A,N/A,N/A,100,200,6267,254648,1.02B,40729000,"Advanced Energy Industries, Inc",N/A,"NMS",41019000,N/A,32.43
"AMD",1.85,1.83,1.85,1.84,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.92,-0.47,-0.25,-0.09,-0.18,25.00M,0.31,N/A,N/A,0.02,N/A,N/A,9.27,4.64B,N/A,N/A,N/A,N/A,N/A,900,3300,64465,16195700,1.43B,632972000,"Advanced Micro Devices",N/A,"NCM",779177000,N/A,2.24
